domain,control_id,description,label,version
HR,HR 1.1,"The healthcare entity shall develop, enforce and maintain a human resources security policy covering the security aspects of employment and termination The policy shall: 1. Define management requirements on; a. Background verification for employees and contractors b. Roles and responsibilities c. Compliance with acc eptable usage and other organizational security policies d. Training and awareness needs e. Return of assets during exit 2. Mandate the requirements of non -disclosure and confidentiality during and after employment 3. Include reference to organizational disciplinary p rocess UAE IA Reference: M3.1.1, M4.1.1 Page 25 of 116",Basic,ADHICS_V1
HR,HR 2.1,"The healthcare entity shall conduct background verification checks on all candidates for employment, contrac tors and third -party users The healthcare entity shall: 1. Define background verification process addressing provisions of government mandates and entity demands 2. Establish criteria for background verification checks based on: a. Role of the individual b. Classifica tion of information access needed c. Access to critical areas d. Risk identified",Basic,ADHICS_V1
HR,HR 2.2,"The healthcare entity shall establish  specific terms and condition of employment The terms and condition shall: 1. Include control requirement specific to employees, co ntractors and third parties, relevant to their roles and risk profiles 2. Include information security responsibilities of the healthcare entity and of the employees, contractors and third parties 3. Include standard information security requirements 4. Be read, un derstood, agreed and signed by employees, contractors and third parties The healthcare entity shall: 5. Conduct mandatory briefing sessions to employees, contractors and third parties on standard and specific information security requirements of the terms and  condition 6. Maintain adequate records on employee, contractor and third party briefing 7. Maintain terms and conditions signed by employee, contractor and third -party resources in -line with entity retention requirements  UAE IA Reference: M4.2.1, M4.2. 2 Page 26 of 116",Basic,ADHICS_V1
HR,HR 3.1,"The healthcare entity management shall ensure employees, contractors and third party users adopt and apply security in accordance with established entity poli cies and procedures The healthcare entity shall: 1. Ensure employees, contractors and third party users are briefed on the entity’s information security compliance requirements 2. Establish acceptable usage policy and ensure users read, accept and sign the poli cy prior to the provision of system, application or information access 3. Consider segregation of duties to avoid potential misuse of position or conflict of interest",Basic,ADHICS_V1
HR,HR 3.2,The healthcare entity shall develop new or modify existing awareness and training  programs to include requirements of governmental and organizational information security demands The healthcare entity shall: 1. Ensure all employees and where relevant contractors and third parties receive appropriate awareness and training to enhance the entity’s security posture and to minimize probabilities of information security risks 2. Ensure that an awareness and training program is formally launched and professionally managed 3. Enhance training contents and enrich delivery of awareness aspects based  on evolving needs 4. Evaluate effectiveness and maintain appropriate record of awareness and trainings delivered,Transitional,ADHICS_V1
HR,HR 3.3,The healthcare entity shall identify and address skill and competency demands and gaps The healthcare entity shall: 1. Assess a nd identify skill and competency gaps on information security demands 2. Implement skill and competency development programs Page 27 of 116,Basic,ADHICS_V1
HR,HR 3.4,"The healthcare entity shall conduct periodic security awareness campaigns, based on established yearly schedules The hea lthcare entity shall: 1. Conduct awareness campaign for general and targeted user groups 2. Identify innovative methods and medium to communicate security requirements 3. Include incentive programs for user participation and adherence to security practices The awar eness campaign shall: 4. Present current risks around the work and industry, and ways to address 5. Present learning from incident 6. Demonstrates the need to protect healthcare information 7. Include benefit of information security compliance 8. Demonstrate stakeholder responsibilities 9. Highlight entity, government and regulatory demands",Basic,ADHICS_V1
HR,HR 3.5,"The healthcare entity shall establish and enforce a disciplinary process for employees, where relevant contractors and third parties, who have committed security breaches The healthcare entity shall: 1. Ensure employees, contractors and third party resources are aware of the entity’s disciplinary processes 2. Enforce disciplinary processes and maintain necessary records on the breaches and on management’s actions UAE  IA Reference: M3.2.1, M3.3.1, M3.3.2, M3.3.3, M3.3.4, M3.3.5, M3.4.1, , M4.3.1, M4.3.2 Page 28 of 116",Transitional,ADHICS_V1
HR,HR 4.1,The healthcare entity shall de fine responsibilities concerning information security for performing employment termination or change of employment The healthcare entity  shall : 1. Establish internal and external communication protocol on employment exit 2. Ensure adequate knowledge transfers a nd responsibility handovers,Basic,ADHICS_V1
HR,HR 4.2,"The healthcare entity shall ensure recovery of all organizational assets upon termination of employment, contract or agreement The healthcare entity  shall : 1. Ensure all organizational assets are recovered and necess ary acknowledgement and clearance obtained from appropriate stakeholders 2. Ensure all information, with special focus on healthcare information, has been recovered and cannot be misused anywhere, anytime 3. Ensure resource s leaving the entity formally acknowled ges and conforms that no information is under their direct or indirect possession or use",Basic,ADHICS_V1
HR,HR 4.3,"The healthcare entity shall remove access rights and revoke privileges of individuals upon termination of employment, contract or agreement The healthca re entity  shall remove access to systems, application s, information, secure areas, and work areas . The healthcare entity  shall : 1. Ensure access to systems, application, information, secure areas, work areas and identified critical areas are revoked upon term ination 2. Communicate with health sector regulator or Abu Dhabi government to revoke any relevant system and application access upon termination",Basic,ADHICS_V1
HR,HR 4.4,"The healthcare entity shall develop internal process to manage internal transfers and change of ro le The healthcare entity  shall : 1. Ensure communication to all necessary internal and external stake holders on change of role or internal transfers 2. Revoke access and privileges associated with old role and reassign privileges on system, application and infor mation access and utilization consistent with their new role based on necessary authorization UAE IA Reference: M4.4.1, M4.4.2, M4.4.3 Page 29 of 116 2. Asset Management Asset Management is an essent ial part of effective health care Information Security management . Health care entities are witnessing an influx of new asset classes that are very different from the ones they used to deal with.  Innovative care delivery mandates that healthcare entities and professionals  deal with a large number of relatively small, mobi le and sophisticated pieces of equipment /devices, and to keep them running at all times as they are often critical to the patient’s health, safety  and wellbeing . In order to be effective and supportive of organizational business and security objectives, healthcare entities shall maintain an updated version of asset inventory, available to relevant management, business and support stakeholders. Information assets includes information/data in all its form, as well as the underlying application, technology, a nd physical infrastructure to support its processing, storing, communicating and sharing. The following are considered information assets:  Information (in physical and digital forms)  Medical device and equipment  Applications and Software  Information System  Physical Infrastructure (Data centre, access barrios, electrical facilities, HVAC systems, etc)  Human resources (in support of care delivery) Objective: The regulatory structure surrounding nearly every facet of the healthcare operations, from protecting patient data and improving health outcomes, to reporting on compliance -related issues, necessitates healthcare entities to monitor and record the use of information assets . Supporting or dependent entity policy references: 1) Data Retention and Disposal Pol icy 2) Physical and Environment Policy 3) Portable Device Security Policy 4) Acceptable Usage Policy Page 30 of 116",Basic,ADHICS_V1
AM,AM 1.1,"The healthcare entity shall develop, implement and maintain an asset management policy  to: 1. Be relevant and appropriate for entities operational and risk environment 2. Establish framework to effectively manage the entity’s information assets through ownership assignment, accountability & responsibility definition, re cording and maintaining of all/relevant properties of asset 3. Define roles and responsibilities for actions expected out of asset management policy, and shall have functional KPI’s for business/function leaders 4. Define and enforce classification schemes, as a pplicable for AD Health Sector (Public, Restricted, Confidential & Secret) 5. Identify requirements of data retention, handling and disposal 6. Have provisions to manage Bring Your Own Device (BYOD) arrangements 7. Be reviewed, updated and maintained at planned int ervals or during significant changes to operating or risk environment, whichever is earlier 8. Be approved by the entity’s top management or its head and shall be communicated to all employees and third parties having a role in care delivery",Basic,ADHICS_V1
AM,AM 1.2,"Where applicable, the healthcare entity shall pay specific attention to medical equipment and devices while defining policy, and shall categorically address the following demands : 1. Roles that will be allowed to access, use and maintain medical device s and equi pment shall be established 2. To the extent possible, medical device s and equipment to authenticate users, based on healthcare entity authentication and authorization process 3. The need for handling procedures for each medical device and equipment in use shall be defined and updated as required  to stay current 4. The need to establish and maintain risk log concerning medical device s and equipment 5. Decommissioning and/or disposal of medical device s and equipment UAE IA References: T1.1.1 Page 31 of 116",Basic,ADHICS_V1
AM,AM 2.1,"The healthcare entity shall have all their information assets identified, recorded and maintained through an information asset inventory. 1. The inventory shall be updated periodica lly, or during change in the environment, and shall be accurate and reliable 2. The inventory can be centralized or distributed (function/line -of- business/service wise) based on the entity’s internal structures, and shall be updated 3. The inventory shall establ ish the relations between various types of information assets, in support of care delivery; Sample illustration:  Service  A  needs B Information   supplied by C Device/Equipment/Process/Dependent -Service   processed using D Application (ERP/EMR/Office Auto mation Applications/etc.)   running on E Technology (server/systems)   supported/operated/managed by XYZ Roles  (human resources involved in care delivery)",Basic,ADHICS_V1
AM,AM 2.2,"Ownership for each identified assets shall be assigned to a designated role : 1. The owne r of an information asset shall define/identify the control requirements to minimize the impact of risk, due to the compromise of assets under his ownership 2. The owner shall review the adequacy of implemented control measures periodically and amend/modify t he control environment as necessary 3. The owner shall ensure effectiveness of the implemented controls, in addressing the risk environment 4. Access and/or use of information assets shall be authorized by the asset owner Ownership of shared IT resources (email system, Active Directory, Common File Server, etc.) shall be collectively owned by the entity’s Information Technology/System or Information and Communication Technology Function. Page 32 of 116",Basic,ADHICS_V1
AM,AM 2.3,"The healthcare entity shall establish and enforce rules on the  acceptable use of information assets : 1. The rules shall be communicated to all employees and contractors in support of care delivery, and shall be read and acknowledged by all 2. Entities shall maintain records of user acceptance on the acceptable use of infor mation assets The rule shall consider general requirements and industry best practices  and shall have management requirements to reduce probabilities of information leakage/loss/theft and system compromises.",Basic,ADHICS_V1
AM,AM 2.4,"Entity management shall be aware o f emerging cyber risks, and shall address risk due to the exploitation of the concept -in-practice “Bring Your Own Device (BYOD)” 1. Probabilities of compromise through the use of personal devices shall be addressed through suitable rules and role -based usage agreements 2. Authorization to use personal devices to access/view/use/share/process/store personal health information is subject to user acknowledgement on the usage agreements Control process and technology solution shall be implemented to reduce/address/co ntain factors of risk . UAE IA References: T1.2.1, T1.2.2, T1.2.3 & T1.2.4 Page 33 of 116",Basic,ADHICS_V1
AM,AM 3.1,"The healthcare entity shall classify  all information assets,  that categorises information assets into one of the following classification scheme :  Public  Restricted  Confidential  Secret",Basic,ADHICS_V1
AM,AM 3.2,Information classification shall consider value of the information and shall be more restrictive/deterrent based on the entity’s tolerance of financial impact due to compromise of the information considered.,Transitional,ADHICS_V1
AM,AM 3.3,The level of essential protection needed for an asset shall be considered while determining asset classification.,Transitional,ADHICS_V1
AM,AM 3.4,"The health care entity shall establish process to reassess and/or change information classification, based on the following : 1. Change in the value of information 2. Changes to environment (location, access, storage, processing, usage, etc.) 3. Changes in protection levels",Transitional,ADHICS_V1
AM,AM 3.5,"The healthcare entity shall establish process to interpret classification schemes, while receiving information from other entities/3rd parties and shall apply all essential control measures to safeguard/protect against compromise.  Transi tional",Unknown,ADHICS_V1
AM,AM 3.6,The healthcare entity shall establish criteria for automated classification of information and shall consider using technology solutions to do so  based on established classification scheme and criteria.,Advanced,ADHICS_V1
AM,AM 3.7,"The healthcare entity  shall establish process to label its information assets in all its form (physical & digital) in a way that is consistent with its classification scheme. UAE IA Reference: T1.3.1, T1.3.2 Page 34 of 116",Basic,ADHICS_V1
AM,AM 4.1,"Handling procedures shall be defined for information, consistent with their classification. 1. Handling procedures shall detail security requirements during :  Access granting and privilege allocation  Processing  Storing  Communica tion/sharing  Printing 2. Security requirements based on asset value shall be considered in the handling procedures",Basic,ADHICS_V1
AM,AM 4.2,Ensure adoption and application of handling procedures while handling information.,Basic,ADHICS_V1
AM,AM 4.3,"The healthcare entity shall manag e removable media in accordance with the classification scheme, handling procedures and acceptable use of assets. The entity shall : 1. Establish media management procedures to address lifecycle requirements (setup, distribution, utilization and disposal) 2. Impl ement rules and guidelines for protecting assets against unauthorised access, misuse or corruption during movement.",Basic,ADHICS_V1
AM,AM 4.4,"Access and usage of removable media shall be controlled and shall be based on the entity’s management approval. Entity managem ent shall : 1. Accept all involved/inherent risk concerning the us e of removable media, and shall be ar all responsibilities and is held accountable for the risks inherent in authorizing the use of removable media",Basic,ADHICS_V1
AM,AM 4.5,The healthcare entity shall esta blish medical devices and equipment management procedure s for each category of identified medical devices and equipment. Page 35 of 116,Basic,ADHICS_V1
